brand;model;body;year;mileage;fuel;seller;transmission;city;color;price
toyota;fortuner;suv;2018;26,345 KM;diesel;dealer;automatic;Manila;Brown;1879000
toyota;hiace-2015-2018;van;2017;8,800 KM;diesel;dealer;automatic;Manila;White;1485000
toyota;vios;sedan;2019;5,055 KM;gasoline;dealer;automatic;Manila;Black;698000
toyota;hiace-2015-2018;van;2017;9,000 KM;diesel;dealer;automatic;Manila;White;1480000
toyota;innova;mpv;2019;2,000 KM;diesel;dealer;manual;Quezon City;Silver / Grey;988000
toyota;avanza;mpv;2018;6,800 KM;gasoline;dealer;manual;Quezon City;Silver / Grey;698000
toyota;wigo;hatchback;2019;2,000 KM;gasoline;dealer;manual;Manila;Orange;480000
toyota;vios;sedan;2017;1,800 KM;gasoline;dealer;manual;Manila;Red;590000
toyota;vios-2017-2018;sedan;2018;1,973 KM;gasoline;dealer;manual;Manila;Red;645000
toyota;hiace-2015-2018;van;2018;11,500 KM;diesel;dealer;manual;Manila;White;1270000
toyota;vios;sedan;2017;1,900 KM;gasoline;dealer;manual;Manila;Red;480000
toyota;vios;sedan;2017;1,900 KM;gasoline;dealer;manual;Manila;Orange;600000
toyota;vios;sedan;2017;1,900 KM;gasoline;dealer;manual;Manila;Silver / Grey;590000
toyota;vios;sedan;2017;7,400 KM;gasoline;dealer;manual;Manila;Red;500000
toyota;vios;sedan;2018;1,900 KM;gasoline;dealer;manual;Manila;Orange;570000
toyota;wigo;hatchback;2018;1,900 KM;gasoline;dealer;manual;Manila;Silver / Grey;415000
toyota;vios;sedan;2017;3,800 KM;gasoline;dealer;manual;Manila;Red;500000
toyota;vios;sedan;2017;4,800 KM;gasoline;dealer;manual;Manila;Black;480000
toyota;hiace-2015-2018;van;2018;15,000 KM;diesel;dealer;manual;Manila;White;1120000
toyota;vios;sedan;2017;2,500 KM;gasoline;dealer;manual;Manila;Silver / Grey;670000
toyota;vios;sedan;2018;1,500 KM;gasoline;dealer;manual;Manila;Red;560000
toyota;hiace-2015-2018;van;2017;15,000 KM;diesel;dealer;manual;Manila;White;980000
